,subID,score,source,target,Identity,Condition
37,31045,0.5,Exp3b_other,Exp3b_other,Other,Explicit
38,31046,0.5,Exp3b_other,Exp3b_other,Other,Explicit
39,31047,0.5,Exp3b_other,Exp3b_other,Other,Explicit
40,31048,0.5,Exp3b_other,Exp3b_other,Other,Explicit
41,31049,0.5,Exp3b_other,Exp3b_other,Other,Explicit
42,31050,0.5,Exp3b_other,Exp3b_other,Other,Explicit
43,31051,0.5,Exp3b_other,Exp3b_other,Other,Explicit
44,31052,0.5,Exp3b_other,Exp3b_other,Other,Explicit
45,31055,0.5,Exp3b_other,Exp3b_other,Other,Explicit
46,31056,0.5,Exp3b_other,Exp3b_other,Other,Explicit
47,31057,0.5,Exp3b_other,Exp3b_other,Other,Explicit
48,31058,0.5,Exp3b_other,Exp3b_other,Other,Explicit
49,31059,0.5,Exp3b_other,Exp3b_other,Other,Explicit
50,31060,0.5,Exp3b_other,Exp3b_other,Other,Explicit
51,31061,0.5,Exp3b_other,Exp3b_other,Other,Explicit
52,31062,0.5,Exp3b_other,Exp3b_other,Other,Explicit
53,31063,0.5,Exp3b_other,Exp3b_other,Other,Explicit
54,31064,0.5,Exp3b_other,Exp3b_other,Other,Explicit
55,31065,0.5,Exp3b_other,Exp3b_other,Other,Explicit
0,31001,0.5,Exp3b_self,Exp3b_self,Self,Explicit
1,31002,0.5,Exp3b_self,Exp3b_self,Self,Explicit
2,31005,0.5,Exp3b_self,Exp3b_self,Self,Explicit
3,31007,0.5,Exp3b_self,Exp3b_self,Self,Explicit
4,31008,0.5,Exp3b_self,Exp3b_self,Self,Explicit
5,31009,0.5,Exp3b_self,Exp3b_self,Self,Explicit
6,31010,0.5,Exp3b_self,Exp3b_self,Self,Explicit
7,31011,0.5,Exp3b_self,Exp3b_self,Self,Explicit
8,31012,0.5,Exp3b_self,Exp3b_self,Self,Explicit
9,31013,0.5,Exp3b_self,Exp3b_self,Self,Explicit
10,31014,0.5,Exp3b_self,Exp3b_self,Self,Explicit
11,31015,0.5,Exp3b_self,Exp3b_self,Self,Explicit
12,31016,0.5,Exp3b_self,Exp3b_self,Self,Explicit
13,31017,0.5,Exp3b_self,Exp3b_self,Self,Explicit
14,31018,0.5,Exp3b_self,Exp3b_self,Self,Explicit
15,31019,0.5,Exp3b_self,Exp3b_self,Self,Explicit
